"compromise"|"(n) sự thỏa hiệp"

"dilemma"|"(n) thế tiến thoái lưỡng nan, tình trạng khó xử"

"inhabitant"|"(n) dân cư, dân cư trú
- A person or animal that lives in or occupies a place"

"infrastructure"|"(n) cơ sở hạ tầng"

"isolation"|"(n) sự cô lập"

"megacity"|"(n) 
- A very large city, typically one with a population of over ten million people."

"migrant"|"(n) người di trú"

"obstacle"|"(n) vật chướng ngại, sự cản trở"

"poverty"|"(n) sự nghèo nàn"

"resolution"|"(n) quyết định, sự cương quyết"

"setback"|"(n) problem, difficulty, issue
- A reversal or check in progress:
eg: a serious setback for the peace process"

"sword"|"(n) thanh gươm"

"slum"|"(n) khu nhà ổ chuột"

"tolerance"|"(n) lòng khoan dung, sự tha thứ
(adj) tolerant"

"urbanization"|"(n) sự thành thị hóa"

"adequate"|"(adj) đầy đủ, thích hợp
- Satisfactory or acceptable in quality or quantity:
eg: this office is perfectly adequate for my needs"

"catastrophic"|"(adj) thảm họa, thê thảm
- Involving or causing sudden great damage or suffering:
eg: a catastrophic earthquake"

"decent"|"(adj)
- đứng đắn, chỉnh tề, lịch sự, tao nhã
- kha khá, tươm tất
eg: a ... income; a ... work"

"double"|"edged - (adj) hai lưỡi"

"short"|"sighted - (adj) cận, thiển cận
- Having short sight"

"one"|"sided - (adj) một phía
- Unfairly giving or dealing with only one side of a contentious issue; biased."

"isolated"|"(adj) cô lập"

"pressing"|"(adj) urgent, critical, crucial; thúc bách, cấp bách, nài nỉ"

"rural"|"(adj) thuộc nông thôn"

"staggering"|"(adj) do dự, chần chừ
(v) stagger"

"aggravate"|"(v) làm bực mình, làm trầm trọng thêm"

"compound"|"(v) pha, trộn, hòa lẫn"

"deteriorate"|"(v) làm hư hỏng, làm giảm giá trị >< enhance"

"exacerbate"|"(v) 
- Make (a problem, bad situation, or negative feeling) worse"

"exclude"|"(v) loại trừ"

"flourish"|"(v) hưng thịnh, phát đạt"

"linger"|"(v) kéo dài, làm chậm trễ, nấn ná."

"overcome"|"(v) chiến thắng, vượt qua"

"reform"|"(v) sửa đổi, cải cách"

"regulate"|"(v) sắp đặt, quy định"

"remedy"|"(v) sửa chữa, cứu chữa (bệnh), đền bù, bù đắp
- cure: chữa khỏi dứt điểm # remedy: trị hay làm giảm 
- remedy a situation: khắc phục tình trạng
eg: remedy the situation of unexcused absences = khắc phục tình trạng vắng mặt không có lý do."

"resolve"|"(v) 
- solve, giải quyết ( khó khăn, vấn đề); 
- decide, ...to do something 
- (n) lòng kiên quyết"

"tackle"|"(v) xử trí, tìm cách giải quyết
- Make determined efforts to deal with (a problem or difficult task):
eg: police have launched an initiative to tackle rising crime"

"tolerate"|"(v) tha thứ"

"transform"|"(v) thay đổi, biến đổi"

"worsen"|"(v) làm cho xấu hơn, trở nên xấu hơn"
