"archaeologist"|"(n) nhà khảo cổ"

"century"|"(n) thế kỷ"

"decade"|"(n) thập kỷ"

"era"|"(n) thời đại kỷ nguyên"

"excavation"|"(n) sự khai quật"

"millennium"|"(n) nghìn năm"

"millennia"|"(n) hàng nghìn năm"

"phase"|"(n) giai đoạn, thời kỳ
stage, period"

"pioneer"|"(n), quân tiên phong, người tiên phong"

"ancient"|"(adj) xưa cổ"

"chronological"|"(adj) theo thứ tự niên đại, theo thứ tự thời gian"

"consecutive"|"(adj) liên tiếp
eg: five consecutive months of serious decline"

"imminent"|"(adj) sắp xảy ra
eg: they were in imminent danger of being swept away"

"middle aged"|"(adj): (Of a person) aged about 45 to 65
eg: the crowd was predominantly middle-aged"

"nostalgic"|"(adj) luyến tiếc quá khứ, nhớ về kỷ niệm xưa
eg: he remained nostalgic about the good old days."

"prehistoric"|"(adj) tiền sử"

"prior"|"(adj) earlier, previous, trước"

"punctual"|"(adj) đúng giờ"

"time consuming"|"(adj) tiêu tốn rất nhiều thời gian
- Taking a lot of or too much time"

"erode"|"(v) xói mòn"

"infer"|"(v) suy ra, luận ra
eg: from these facts we can infer that crime has been increasing"

"predate"|"(v) 
- Exist or occur at a date earlier than (something):
eg: here parish boundaries seem clearly to predate Roman roads"

"span"|"(v) extend over, last, stretch across
- Extend across (a period of time or a range of subjects):
eg: their interests span almost all the conventional disciplines"

"on time"|"Punctual, not late; đúng giờ đã hẹn"

"In time (for something / to do something)"|"(vừa kịp lúc (sớm một chút) để làm gì.
Ex: - Will you be home in time for dinner? Biểu tượng cảm xúc smile soon enough for dinner).
(Bạn sẽ về nhà kịp bữa tối chứ?)"

"lose track of time"|"- to be unaware of what time it is
eg: I bought my husband a watch, because he was always losing track of time. Now he is never late."

"chronologically"|"(adv) theo niên đại, theo thứ tự thời gian
eg: the essays are arranged chronologically"

"formerly"|"(adv) previously, earlier; trước đây
 In the past; in earlier times"

"previously"|"(adv) trước đây"

"subsequently"|"(adv) rồi sau đó; later, later on, at a later date
eg: many of the Scots who voted for Union subsequently changed their minds"
