"Competitive"|"competitors"|"competition"|""|""|""|""|""|""|""

"Achievement"|"success"

"Because"|"thus"|"It is… that "|"so"

"Rely on previous events"|"draw on pastexperience"

"A result of"|" a product of"

"Pitfalls"|"traps"|"snares"

"Exposure to…"|"bombard…with"

"Receptive"|"receive"|"embrace"|"accept"|"agree"

"Novelty"|"newexperience"

" Fear"|"phobia"

" Embarrassment"|"ridicule"

" Psychological illness"|"mentaldisorder"

" Decide"|"decision"

" Scientific"|"science"|"technology"|"technological"

" Argue"|"argument"|"debate"|"debatable"|"discuss"|"dispute"|"disputable"

" Understandable"|"understand"|"reasonable"

" Be affectedby"|"influence"

" Still exist"|"be still withus"

" Stop"|"halt"|"prevent"|"end"

" Pointless"|"not"|"no pointof"

" Misrepresented"|"paint unrealpictures"

" The custom of speaking"|" popularspeech"

" Grammatical rules"|" rules ofgrammar"

" Alternative"|"choice"|"way"|"replacement"
