"brick"|"(n) gạch"

"concrete"|"(n) bê tông"

"construction"|"(n) xây dựng.
(v) construct"

"cottage"|"(n) Nhà tranh"

"invention"|"(n) sự phát minh"

"landmark"|"(n) Mốc ranh giới, giới hạn"

"lift shaft"|"(n) Hố thang máy"

"occupant"|"(n) Người ở (trong một ngôi nhà), người thuê nhà"

"quarry"|"(n) Mỏ đá"

"resident"|"(n) người trú ngụ, cư dân"

"skyscape"|"(n) cảnh bầu trời, bức vẽ bầu trời"

"staircase"|"(n) cầu thang"

"storage"|"(n) kho"

"tension"|"(n) sức ép, sự căng"

"timber"|"(n) gỗ làm nhà, kèo, xà"

"airy"|"(adj) thoáng khí"

"cosy"|"(adj) ấm cúng, thoải mái."

"cramped"|"(adj) chật hẹp, tù túng"

"spacious"|"(adj) rộng rãi
- (Especially of a room or building) having ample space"

"cramp"|"(adj) khó đọc (chữ); bị chuột rút"

"curved"|"(adj) cong"

"domestic"|"(adj)
of or inside a particular country; not foreign or international
Eg: domestic flights (= to and from places within a country)"

"exterior"|"(adj) ngoài, từ ngoài vào, nước ngoài
(n) bề ngoài, bên ngoài"

"futuristic"|"(adj) 
- Having or involving very modern technology or design"

"high- rise"|"(adj) (Of a building) having many storeys
- very tall and having a lot of floors
Eg: high-rise housing"

"internal"|"(adj) trong nước, nội bộ"

"old-fashioned"|"(adj) 
- In or according to styles or types no longer current; not modern."

"ornate"|"(adj) hoa mỹ, trang trí công phu"

"prefabricated"|"(adj) được làm sẵn, đúc sẵn"

"ultra- modern"|"(adj) 
Extremely modern; advanced"

"activate"|"(v) hoạt hóa, khởi động
- Make (something) active or operative
eg: fumes from cooking are enough to activate the alarm"

"condemn"|"(v) judge a building not to be safe
eg: No one has been allowed to occupy"

"decorate"|"(v) trang trí, trang hoàng"

"demolish"|"(v) đánh đổ, phá hủy"

"devise"|"(v) lên kế hoạch, phát minh, sáng chế
-Plan or invent (a complex procedure, system, or mechanism) by careful thought:
eg: a training programme should be devised
eg: a complicated game of his own devising"

"haul"|"(v) đẩy, kéo mạnh
- pull or drag with effort or force"

"hoist"|"(v) kéo lên (cờ), nhấc bổng lên
- Raise (something) by means of ropes and pulleys"

"occupy"|"(v) ở, chiếm giữ"

"renovate"|"(v) làm mới lại
- The building was newly renovated and in a good location."
