"asteroid"|"(n) hành tinh nhỏ"

"astronaut"|"(n) phi hành gia"

"cosmos"|"(n) vũ trụ, universe"

"crater"|"(n) hố (bom, đạn đại bác), miệng núi lửa"

"debris"|"(n) mảnh vỡ, mảnh vụn"

"exploration"|"(n) sự thăm dò, thám hiểm"

"explorer"|"(n) người thăm dò, thám hiểm"

"galaxy"|"(n) ngân hà, thiên hà"

"gravity"|"(n) trọng lực, sự hấp dẫn, lực hấp dẫn"

"horizon"|"(n) chân trời, đường chân trời
- the sun rose above the horizon"

"meteor"|"(n) Sao băng"

"ocean"|"(n) đại dương"

"orbit"|"(n) quỹ đạo
(v) quay quanh quỹ đạo"

"outer space"|"(n) 
- The physical universe beyond the earth's atmosphere"

"radiation"|"(n) sự bức xạ"

"rocket"|"(n) tên lửa"

"satellite"|"(n) vệ tinh"

"simulator"|"(n) người giả vờ, thiết bị mô hình hóa"

"solar system"|"(n) hệ mặt trời"

"spacecraft"|"(n) tàu vũ trụ"

"space station"|"(n) trạm không gian"

"weightlessness"|"(n) trạng thái không trọng lượng"

"cosmic"|"(adj) rộng lớn, khổng lồ"

"inevitable"|"(adj) không thể tránh được, chắc chắn xảy ra
- Certain to happen; unavoidable:
eg: war was inevitable"

"meteoric"|"(adj) thuộc sao băng, rạng rỡ trong chốc lát (nghĩa bóng)"

"terrestrial"|"(adj) thuộc đất, thuộc trái đất"

"toxic"|"(adj) độc"

"unhabitable"|"(adj) không thể ở được, không trú ngụ được"

"unmanned"|"(adj) không có người"

"acclimatize"|"(v) làm cho thích nghi khí hậu"

"colonize"|"(v) lập thuộc địa, chiếm làm thuộc địa"

"propel"|"(v) đẩy đi, đẩy tới
- Drive or push something forwards:
eg: the boat is propelled by using a very long paddle"

"sustain"|"(v) chống đỡ, giữ vững được, chống cự, kéo dài"

"undergo"|"(v) chịu, bị, trải qua."
