"adolescent"|"(adj) đang tuổi thanh niên 
- adolescent river
(n) người ở tuổi thanh niên
- teenager, youngster, young person"

"childhood"|"(n) thời thơ ấu, tuổi thơ ấu"

"gesture"|"(n) điệu bộ"

"imagination"|"(n) sức tưởng tượng, trí tưởng tượng."

"infancy"|"(n) tuổi thơ ấu, lúc còn trứng nước.
- babyhood, early childhood"

"infant"|"(n) bé dưới 7 tuổi"

"maturity"|"(n) tính chín chắn"

"milestone"|"(n) mốc lịch sử"

"peer"|"(n) người ngang hàng"

"toddle"|"(n) đứa bé đi chập chững"

"transition"|"(n) sự quá độ, sự chuyển tiếp"

"abstract"|"(adj) trừu tượng, khó hiểu"

"cognitive"|"(adj) dựa trên hiểu biết, kinh nghiệm"

"clumsy"|"(adj) vụng về, lóng ngóng
- Awkward in movement or in handling things"

"fond"|"(adj) ngây thơ"

"immature"|"(adj) chưa chín chắn, non nớt"

"irresponsible"|"(adj) thiếu tinh thần trách nhiệm"

"patient"|"(adj) kiên nhẫn
(n) bệnh nhân"

"rebellious"|"(adj) nổi loạn, bất trị"

"tolerant"|"(adj) khoan dung,vị tha
- He has a very ... attitude towards other religions."

"imitate"|"(v) bắt chước
-Her style of painting has been ...d by other artists."

"mature"|"(adj) chín chắn
- Jane is very mature for her age.
(v) become fully grown or developed:
eg: children mature at different ages"

"reminisce"|"(n) hồi tưởng,nhớ lại"

"tantrum"|"(n) cơn thịnh nộ, cơn giận"

"throw a tantrum"|"(v) nổi cơn thịnh nộ"

"visualize"|"(v) hình dung, mường tượng 
-Form a mental image of; imagine:
eg: it is not easy to visualize the future"
