"acid rain"|"(n) Mưa axit"

"biodiversity"|"(n) Sự đa dạng sinh học
- The variety of plant and animal life in the world or in a particular habitat, a high level of which is usually considered to be important and desirable."

"contamination"|"(n) Sự nhiễm bẩn, nhiễm độc
- The action or state of making or being made impure by polluting or poisoning"

"deforestation"|"(n) Sự tàn phá rừng"

"disposal"|"(n) 
- sự bán, sự chuyển nhượng, sự bán tống đi
- The arrangement of something: sự sắp xếp"

"leaflet"|"(n) truyền đơn"

"drought"|"(n) Hạn hán"

"ecosystem"|"(n) Hệ sinh thái"

"erosion"|"(n) Sự xói mòn"

"fertilizer"|"(n) phân bón"

"pesticide"|"(n) thuốc trừ sâu"

"pollutant"|"(n) Chất gây ô nhiễm"

"soil"|"(n) đất"

"refuse"|"(n) đồ thừa, đá thải
(n) từ chối"

"threat"|"(n) sự đe dọa
(v) threaten"

"strain"|"(n) sự căng"

"achievable"|"(adj) có thể đạt được
- Able to be brought about or reached successfully"

"advantageous"|"(adj) có lợi, thuận lợi
- we are in an advantageous position"

"beneficial"|"(adj) có ích, có lợi
- the beneficial effect on the economy"

"chronic"|"(adj) kinh niên (y học);"

"conceivable"|"(adj) có thể hiểu được, có khả năng nhận thức được, có thể tưởng tượng được
- Capable of being imagined or grasped mentally"

"devastating"|"(adj) tàn phá, phá hủy"

"unlikely"|"(adj) không chắc, không chắc có thực
- Not likely to happen, be done, or be true; improbable:
eg: an unlikely explanation
eg: it is unlikely that they will ever be used"

"doubtful"|"(adj) nghi ngờ, đáng ngờ"

"questionable"|"(adj) đáng ngờ
- Doubtful as regards truth or validity"

"unfeasible"|"(adj) không thể thực thực hiện được >< feasible"

"likely"|"(adj) chắc đúng, có lẽ thật (l)"

"probable"|"(adj) có thể có, có khả năng xảy ra (p)"

"liable"|"(adj) có trách nhiệm pháp lý; có khả năng xảy ra (likely)
- the credit-card company is liable for any breach of contract"

"unattainable"|"(adj) unreachable, unachievable; không thể đạt được
- Not able to be reached or achieved:
eg: an unattainable goal"

"impracticable"|"(adj) khó thi hành, khó thực hiện
- impossible in practice to do or carry out:
eg: it was impracticable to widen the road here"

"fruitless"|"(adj) thất bại, không có kết quả
- Failing to achieve the desired results; unproductive or useless:
eg: his fruitless attempts to publish poetry"

"viable"|"(adj) có thể thành tự được
- Capable of working successfully; feasible:
eg: the proposed investment was economically viable"

"improbable"|"(adj) không chắc, không chắc có thực, không chắc xảy ra.
- Not likely to be true or to happen
/ɪmˈprɒbəb(ə)l/"

"futile"|"(adj) vô ích, không có hiệu quả, phù phiếm"

"useless"|"(adj) vô ích, vô dụng"

"pointless"|"(adj) vô nghĩa
- Having little or no sense, use, or purpose"

"immune"|"(adj) được miễn, miễn khỏi"

"insoluble"|"(adj) không giải quyết được, không hòa tan được
- Impossible to solve:
the problem is not insoluble
/ɪnˈsɒljʊb(ə)l/"

"irreplaceable"|"(adj) không thể thay thế được"

"irreversible"|"(adj) không thể đảo ngược lại"

"pervasive"|"(adj) tỏa khắp, lan tràn khắp"

"pristine"|"(adj) ban sơ, xưa, cổ xưa"

"recyclable"|"(adj) có khả năng phục hồi, tái chế
- Able to be recycled:
eg: recyclable plastic"

"sustainable"|"(adj) có thể chống đỡ, chịu đựng được
- Able to be maintained at a certain rate or level:
eg: sustainable economic growth"

"taxing"|"(adj) gây mệt mỏi, đòi hỏi cố gắng
- they find the work too taxing"

"unprecedented"|"(adj) không hề có, chưa từng thấy
- Never done or known before:
eg: the government took the unprecedented step of releasing confidential correspondence."

"worthwhile"|"(adj) đáng giá
- Worth the time, money, or effort spent; of value or importance:
eg: extra lighting would make a worthwhile contribution to road safety"

"confront"|"(v) mặt giáp mặt, đối chất"

"contaminate"|"(v) làm bẩn, làm nhiễm, làm hư hỏng"

"dispose"|"(v) làm cho có ý định, làm cho có ý muôn
- he hoped the trip might dispose her husband to be more charitable."

"dispose of"|"(v) throw away, throw out, give away"

"inexorably"|"(adv) không lay chuyển được
- In a way that is impossible to stop or prevent:"

"inevitably"|"(adv) naturally, automatically, unavoidably, certainly, surely.
- As is certain to happen; unavoidably:"
