"accuracy"|"(n) độ chính xác"

"concept"|"(n) khái niệm, quan niệm"

"conjecture"|"(n) sự phỏng đoán"

"tendency"|"(n) khuynh hướng"

"dialect"|"(n) tiếng địa phương"

"gesture"|"(n) điệu bộ, cử chỉ"

"hesitation"|"(n) sự nói ngắc ngứ, sự nói ấp úng"

"connotation"|"(n) meaning = significance = ý nghĩa"

"linguist"|"(n) nhà ngôn ngữ học, người biết nhiều thứ tiếng"

"linguistic"|"(n) ngôn ngữ học"

"incoherent"|"(adj) không mạch lạc, rời rạc"

"inherent"|"(adj) vốn có
eg: I have always been conscious of the inherent dangers to our natural world from our industry."

"sophisticated"|"(adj) tinh vi; thạo đời, sành điệu; giả mạo, pha."

"spontaneous"|"(adj) tự ý, tự động; thanh thoát (văn)."

"deaf"|"(adj) điếc"

"clarify"|"(v) làm cho sáng sủa dễ hiểu
- Make (a statement or situation) less confused and more comprehensible."

"comprehend"|"(v) lĩnh hội, hiểu thấu đáo"

"verbalize"|"(v) phát biểu bằng lời
- Express (ideas or feelings) in words, especially by speaking out loud."

"confirm"|"(v) thừa nhận, xác nhận"

"define"|"(v) định nghĩa"

"converse"|"(v) nói chuyện, trò chuyện"

"distinguish"|"(v) phân biệt"

"intimate"|"(v) imply, hint"

"recap"|"(v) recapitulate; summarize
- State again as a summary"

"emerge"|"(v) nổi lên, hiện ra; thoát khỏi (sự đau khổ).
- Move out of or away from something and become visible:
eg: black ravens emerged from the fog"

"evolve"|"(v) tiến triển, tiến hóa; làm tiến triển
- Develop gradually
eg: the company has evolved into a major chemical manufacturer."

"gesture"|"(v) diễn tả bằng điệu bộ"

"imply"|"(v) ngụ ý"

"narrate"|"(v) kể lại, thuật lại = recount = relate"

"refer"|"(v) ám chỉ, nói đến, nhắc đến
- Mention or allude to:
eg: her mother never referred to him again"

"signify"|"(v) có nghĩa; biểu thị; tuyên bố
- Be an indication of:
eg: this decision ...ed a fundamental change in their priorities.
- (Of a person) indicate or declare (a feeling or intention."

"state"|"(v) phát biểu, nói rõ
- Express something definitely or clearly in speech or writing."

"stutter"|"(v) nói lắp
(n) sự nói lắp"
