"Crisis "|" (n)
- A time of intense difficulty or danger
g: energy crisis."

"biofuel "|" (n)
- A fuel derived immediately from living matter"

"emission "|" (n) discharge, release, outpouring. Sự thải ra, sự bốc ra.
- The production and discharge of something, especially gas or radiation:
eg: 1. the effects of lead ... on health
 2. cuts in carbon dioxide ...s"

"carbon dioxide "|" (n) CO2"

"exhaust "|" (v) 
- Waste gases or air expelled from an engine, turbine, or other machine in the course of its operation:
eg: exhaust fumes"

"fossil fuel "|" (n) nhiên liệu hóa thạch"

"fuel "|" (n) nhiên liệu
- Material such as coal, gas, or oil that is burned to produce heat or power:
eg: one aircraft ran out of fuel and had to ditch"

"fume "|" (n) smoke, vapour
- An amount of gas or vapour that smells strongly or is dangerous to inhale:
eg: 1. clouds of exhaust fumes spewed by cars
 2. And inhaling the exhaust fumes is unpleasant and unhealthy."

"greenhouse "|" (n) Hiệu ứng nhà kính"

"hybrid "|" (n) Hệ Lai
- A thing made by combining two different elements"

"hydrogen "|" (n) H"

"petrol "|" (n) xăng dầu"

"vehicle "|" (n) A thing used for transporting people or goods"

"magnitude "|" (n) Độ lớn, tầm quan trọng"

"century "|" (n) thế kỷ"

"decade "|" (n) thập kỷ"

"vapour "|" (n) Hơi
- water vapour: Hơi nước"

"critical "|" (adj) censorious. Hay phê bình, chỉ trích, 
- Expressing adverse or disapproving comments or judgements:
eg: I was very critical of the previous regime"

"disposable "|" (adj) có thể bỏ đi
- intended to be thrown away after use:
eg: disposable nappies."

"drastic "|" (adj) extreme, serious, forceful. Tác động mạnh mẽ
- Likely to have a strong or far-reaching effect; radical and extreme:
eg: a drastic reduction of staffing levels"

"eco "|" friendly - (adj) cleanly, user-friendly
- Not harmful to the environment:
eg: I use only eco-friendly products"

"efficient "|" (adj) Có hiệu quả, có năng suất cao
- achieving maximum productivity with minimum wasted effort or expense
eg: more efficient processing of information"

"effective "|" (adj) Có kết quả, có tác động
eg: effective solutions to environmental problems"

"rechargeable "|" (adj) có thể nạp lại"

"renewable "|" (adj) có thể khôi lại"

"solar "|" (adj) 
- Relating to or determined by the sun"

"environmentally friendly "|" (adj) thân thiện với môi trường"

"unleaded "|" (adj) không chì
- without added lead (Especially of petrol)."

"poisonous "|" (adj) có độc"

"devastating "|" (adj) tàn phá, phá hủy
- Highly destructive or damaging"

"absorb "|" (v) hút, hấp thụ
- Take in or soak up (energy or a liquid or other substance) by chemical or physical action:
eg: Trees can ... carbon dioxide and help to counter the fumes produced by our cars."

"Conserve "|" (v) preserve, protect, maintain
- Protect (something, especially something of environmental or cultural importance) from harm or destruction:
eg: The funds raised will help conserve endangered meadowlands."

"consume "|" (v) Tiêu thụ, đốt."

"counter "|" (v) phản đối, chống lại, chặn lại, đánh trả lại.
- Speak or act in opposition to:
eg: The second argument is more difficult to ..."

"deplete "|" (v) exhaust, use up, consume, spend, drain, empty.
- Use up the supply or resources of:
eg: fish stocks are severely depleted"

"diminish "|" (v) decrease, decline, reduce, lessen, shrink
- Make or become less:
eg: the new law is expected to diminish the government's chances.
eg: : the pain will gradually diminish."

"discharge "|" (v) Tuôn ra, tháo ra, bốc ra.
- Allow (a liquid, gas, or other substance) to flow out from where it has been confined:
eg: industrial plants discharge highly toxic materials into rivers"

"dwindle "|" (v) thu nhỏ lại
- Diminish gradually in size, amount, or strength:
eg: traffic has ...ed to a trickle"

"emit "|" (v) phát ra, bốc ra, tỏa ra.
- Produce and discharge (something, especially gas or radiation):
eg: even the best cars emit carbon dioxide"

"expend "|" (v)
- Spend or use up (a resource such as money or energy):
eg: the energy expended in sport could be directed into other areas"

"maintain "|" (v) giữ, duy trì, bảo quản, bảo vệ. (m)
- Cause or enable (a condition or situation) to continue:
eg: the need to maintain close links between industry and schools
- Keep (a building, machine, or road) in good condition by checking or repairing it regularly"

"outweigh "|" (v) 
- Be heavier, greater, or more significant than:
eg: the advantages greatly ... the disadvantages"

"preserve "|" (v) giữ gìn, bảo quản (p)
- Maintain (something) in its original or existing state:
eg: all records of the past were zealously preserved"

"retain "|" (v) vẫn duy trì, vẫn giữ.(r)"

"abandon "|" (v) từ bỏ, ruồng bỏ, bỏ rơi
- It is unlikely we will abandon our cars in large enough numbers to solve pollution problem."
