"adolescence"|"(n) thời thanh niên"

"adulthood"|"(n) tuổi trưởng thành"

"bond"|"(n) dây đai, đay buộc; (nghĩa bóng) mối quan hệ"

"brotherhood"|"(n) tình anh em"

"childhood"|"(n) tuổi thơ ấu"

"fatherhood"|"(n) cương vị làm cha
- The state of being a father:"

"instinct"|"(n) bản năng, năng khiếu"

"motherhood"|"(n) tình mẹ, bổn phận làm mẹ"

"resemblance"|"(n) sự giống nhau
- similarity, likeness, alikeness, similitude"

"rivalry"|"(n) sự cạnh tranh, sự ganh đua
- competitiveness, competition"

"divorce"|"(n) sự ly dị"

"sibling"|"(n) anh chị em ruột"

"temperament"|"(n) khí chất, chí khí, tính"

"tie"|"(n) dây buộc, (nghĩa bóng) mối ràng buộc, quan hệ"

"upbringing"|"(n) sự dạy dỗ, sự nuôi dưỡng"

"extended family"|"(n) 
- An extended family is a family that extends beyond the nuclear family, consisting of grandparents, aunts, uncles, and cousins all living nearby or in the same household."

"family gathering"|"(n) sự đoàn tụ gia đình"

"immediate family"|"(n) gia đình ruột thịt (bao gồm ba, mẹ & anh chị em ruột)."

"family tie"|"(n) sự gắn bó trong gia đình"

"dysfunctional family"|"(n) gia đình không êm ấm"

"distant relative"|"(v) họ hàng xa"

"maternal instinct"|"(n) bản năng làm mẹ"

"sibling rivalry"|"(n) sự ganh đua giữa anh em ruột"

"carefree childhood"|"(n) tuổi thơ êm đềm"

"troubled childhood"|"(n) tuổi thơ khó khăn"

"stable upbringing"|"(n) sự nuôi dưỡng ổn định trong mô trường tốt"

"active role"|"(n) vai trò chủ động"

"striking resemblance"|"(n) sự giống nhau 1 cách ngạc nhiên"

"close"|"knit - (adj)
- close-knit family: gia đình êm ấm"

"maternal"|"(adj) (thuộc) mẹ.
- Relating to a mother, especially during pregnancy or shortly after childbirth."

"rewarding"|"(adj) đáng đọc, đáng làm"

"accommodate"|"(v) điều tiết, làm cho thích nghi, làm cho phù hợp
- (Of a building or other area) provide lodging or sufficient space for:
eg: the cottages accommodate up to six people"

"adopt"|"(v) nhận làm con nuôi"

"break down"|"(v) bẻ gãy, làm vỡ, sụp đổ
- (Of a relationship, agreement, or process) cease to continue; collapse:
eg: pay negotiations with management broke down"

"endure"|"(n) chịu đựng; kéo dài
- [WITH OBJECT] Suffer (something painful or difficult) patiently:
it seemed impossible that anyone could endure such pain.
- [NO OBJECT] Remain in existence; last:
these cities have endured through time"
